Acceptance Probability
Layer: 0, Bt :3.86112, At: 1, Delta_E: 32.0107, Acceptance Probability: 2.41805e-16, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 15.4546, Acceptance Probability: 2.88685e-08, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 65.3277, Acceptance Probability: 1.3479e-32, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 43.8949, Acceptance Probability: 3.85246e-22, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 32.199, Acceptance Probability: 1.95716e-16, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 18.6106, Acceptance Probability: 8.33213e-10, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 108.245, Acceptance Probability: 1.55705e-53, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 47.9333, Acceptance Probability: 4.12645e-24, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 50.9441, Acceptance Probability: 1.40198e-25, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 14.4251, Acceptance Probability: 9.17621e-08, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 55.4925, Acceptance Probability: 8.46868e-28, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 50.7323, Acceptance Probability: 1.77867e-25, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 92.1774, Acceptance Probability: 1.07379e-45, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 96.7809, Acceptance Probability: 6.09678e-48, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 11.0124, Acceptance Probability: 4.24188e-06, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 0.14663, Acceptance Probability: 0.848137, Is Accepted:1
Layer: 0, Bt :3.86112, At: 1, Delta_E: 74.008, Acceptance Probability: 7.85159e-37, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 50.3325, Acceptance Probability: 2.78672e-25, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 61.2775, Acceptance Probability: 1.27519e-30, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 156.431, Acceptance Probability: 4.83926e-77, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 98.6216, Acceptance Probability: 7.71077e-49, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 7.93148, Acceptance Probability: 0.000135083, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 99.68, Acceptance Probability: 2.34845e-49, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 2.26275, Acceptance Probability: 0.0787244, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 9.74092, Acceptance Probability: 1.76953e-05, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 60.488, Acceptance Probability: 3.09532e-30, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 26.3953, Acceptance Probability: 1.32731e-13, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 27.7399, Acceptance Probability: 2.93087e-14, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 99.8798, Acceptance Probability: 1.87618e-49, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 6.78539, Acceptance Probability: 0.000489467, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 18.4444, Acceptance Probability: 1.0042e-09, Is Accepted:0
